emotion,sentiment,textual_sentiment_predicted,textual_sentiment_score,transcription_ground_truth,transcription_ASR,WER,file_path
fear,negative,negative,0.6315398812294006,"No, I-I-I-I don't, I actually don't know",And I actually don't know who I'm talking about.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt3.wav
neutral,neutral,neutral,0.5692520141601562,Ok!,Okay.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt4.wav
neutral,neutral,neutral,0.7421779632568359,"All right, well...",well órgy,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt5.wav
neutral,neutral,neutral,0.5624186992645264,"Yeah, sure!",Oh sure.,0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt8.wav
neutral,neutral,neutral,0.5482649803161621,"Hey, Mon.",very much,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt0.wav
neutral,neutral,negative,0.9224416613578796,Hey-hey-hey. You wanna hear something that sucks.,You wanna hear something that sucks?,0.14285714285714285,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt1.wav
joy,positive,neutral,0.760055422782898,Do I ever.,Do I ever?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt2.wav
sadness,negative,neutral,0.7446954250335693,Chris says theyre closing down the bar.,Chris says they're closing down the bar.,0.14285714285714285,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt3.wav
surprise,negative,neutral,0.4256950914859772,No way!,No way!,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt4.wav
neutral,neutral,neutral,0.8060148358345032,"Yeah, apparently theyre turning it into some kinda coffee place.",they're turning it into some kind of coffee place.,0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt5.wav
disgust,negative,neutral,0.8745517730712891,Just coffee! Where are we gonna hang out now?,Just coffee? What are we gonna hang out now? Got me?,0.3333333333333333,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt6.wav
sadness,negative,neutral,0.7645026445388794,Got me.,What are we gonna hang out now? Got me!,3.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt7.wav
neutral,neutral,neutral,0.7281588912010193,Can I get a beer.,I get beer.,0.4,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt8.wav
neutral,neutral,neutral,0.6397144794464111,"Hey, did you pick a roommate?","Please. Hey, did you figure out me?",0.6666666666666666,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt9.wav
joy,positive,positive,0.8248658180236816,You betcha!,You betcha!,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt10.wav
neutral,neutral,neutral,0.9269566535949707,Is it the Italian guy?,Is it the Italian guy?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt11.wav
joy,positive,neutral,0.5239993929862976,"Um-mm, yeah right!","Yeah, right.",0.3333333333333333,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt12.wav
surprise,negative,negative,0.8716854453086853,"Oh my God, oh my God! Poor Monica!","Oh my god, oh my god, poor Monica!",0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt0.wav
surprise,negative,neutral,0.7265481948852539,"What, what, what?!",What? What? What?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt1.wav
surprise,negative,neutral,0.6546458005905151,What?!,What?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt2.wav
neutral,neutral,neutral,0.9014051556587219,He was with her when he wrote this poem.,It was with her when he wrote this poem. Look.,0.2222222222222222,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt3.wav
neutral,neutral,positive,0.9165962338447571,"Look,  'My vessel so empty with nothing inside.",My vessel's so lovely with nothing inside.,0.375,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt4.wav
neutral,neutral,neutral,0.6345252394676208,"Now that I've touched you, you seem emptier still.'","Now that I've touched you, you seem empty or still?",0.2222222222222222,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt5.wav
surprise,negative,negative,0.6481145024299622,"He thinks Monica is empty, she is the empty vase!","Deep thanks Monica's empty, she's the empty vase.",0.6,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt6.wav
sadness,negative,positive,0.980342447757721,"Oh, totally. Oh, God, oh, she seemed so happy too.","Oh God, oh she seems so happy too.",0.3,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt8.wav
neutral,neutral,neutral,0.593028724193573,Done.,Done.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt9.wav
surprise,positive,neutral,0.60777747631073,Hey!,Bye.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt0.wav
surprise,positive,neutral,0.9033131003379822,What are you doing here?,What are you doing here?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt2.wav
neutral,neutral,neutral,0.7474483251571655,"Ah y'know, this building is on my paper route so I...","You know, this building's on my paper roots.",0.6363636363636364,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt3.wav
neutral,neutral,neutral,0.5692520141601562,Oh.,Okay.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt4.wav
neutral,neutral,positive,0.5524577498435974,Howd did it go?,Hello.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt7.wav
joy,positive,positive,0.8408740758895874,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.","Well, the woman I interviewed with was pretty tough, but you know, thank God Mark coached me because once I started talking about the fall line She got all happy and wouldn't shut up",0.11764705882352941,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt8.wav
joy,positive,positive,0.9812861680984497,Im so proud of you.,So proud of you.,0.2,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt9.wav
joy,positive,positive,0.6189686059951782,Me too!,Ciao!,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt10.wav
sadness,negative,negative,0.4399438798427582,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...","Listen, I'm sorry I've been so crazy and jealous and this just I like it a lot.",0.38095238095238093,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt11.wav
neutral,neutral,neutral,0.644666314125061,I know.,I know.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt12.wav
neutral,neutral,neutral,0.5797720551490784,Yeah.,Yeah.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt13.wav
neutral,neutral,neutral,0.5797720551490784,Yeah.,Yeah.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt14.wav
neutral,neutral,positive,0.9299718141555786,Ameri-can.,I'm very keen. I'm very.,5.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt0.wav
neutral,neutral,positive,0.8344851136207581,Ameri-ccan.,Thank you.,2.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt1.wav
neutral,neutral,neutral,0.6164191365242004,Ameri-can. Y'know its a,"I mean, it can, again, it's a very hard language.",2.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt2.wav
joy,positive,positive,0.9773821234703064,Good job Joe! Well done! Top notch!,Good job Joe. Well done top notch,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt0.wav
surprise,positive,positive,0.7298492193222046,You liked it? You really liked it?,If you really liked it.,0.42857142857142855,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt1.wav
joy,positive,positive,0.9406743049621582,"Oh-ho-ho, yeah!","Oh, yeah!",0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt2.wav
neutral,neutral,neutral,0.8913568258285522,Which part exactly?,Which part exactly?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt3.wav
neutral,neutral,neutral,0.4847865104675293,The whole thing! Can we go?,The whole thing! Here we go!,0.16666666666666666,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt4.wav
anger,negative,neutral,0.7891375422477722,"Oh no-no-no, give me some specifics.",Give me some specifics.,0.3333333333333333,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt5.wav
joy,positive,positive,0.9829949736595154,"I love the specifics, the specifics were the best part!","I love the specifics, the specifics were the best part!",0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt6.wav
neutral,neutral,neutral,0.7308543920516968,"Hey, what about the scene with the kangaroo? Did-did you like that part?",What about the scene with the kangaroo? Did you like that part?,0.15384615384615385,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt7.wav
surprise,negative,negative,0.581034779548645,I was surprised to see a kangaroo in a World War I epic.,I was surprised to see a kangaroo in a World War I epic.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt8.wav
anger,negative,positive,0.8580247163772583,You fell asleep!!,You found the sweep!,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt9.wav
anger,negative,negative,0.4718400239944458,There was no kangaroo!,There was no kangaroo!,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt10.wav
anger,negative,negative,0.8108874559402466,They didnt take any of my suggestions!,They didn't take any of my suggestions,0.14285714285714285,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt11.wav
neutral,neutral,positive,0.9768962264060974,Thats for coming buddy.,Thanks a lot for coming buddy.,0.75,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt12.wav
neutral,neutral,neutral,0.6283977031707764,Ill see you later.,See you later.,0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt13.wav
sadness,negative,neutral,0.49170324206352234,Dont go!,Don't go-,0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt14.wav
sadness,negative,negative,0.6035733819007874,Im sorry.,I'm sorry.,0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt15.wav
sadness,negative,negative,0.850123405456543,Im so sorry!,I'm so sorry!,0.3333333333333333,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt16.wav
anger,negative,neutral,0.6337961554527283,This guy fell asleep!,This guy fell asleep he-,0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt18.wav
anger,negative,neutral,0.6683705449104309,He fell asleep too!,ases.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt19.wav
anger,negative,negative,0.7941048741340637,Be mad at him!,You'll be mad here.,0.75,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt20.wav
anger,negative,negative,0.6126781105995178,"Or, call an ambulance.",Or call an ambulance.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt21.wav
neutral,neutral,negative,0.7560797333717346,"Okay, look, I think we have to tell Rachel she messed up her dessert.","Okay, look, I think we have to tell Rachel she messed up her dessert.",0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia7_utt0.wav
anger,negative,negative,0.5462879538536072,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",What? What is with everybody? It's Thanksgiving night.,0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia7_utt1.wav
neutral,neutral,neutral,0.5398296117782593,"Yes, and it is my dying wish to have that ring.",is my dying wish to have that ring. See if I'm not buried with that ring.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt0.wav
neutral,neutral,neutral,0.46819382905960083,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity","is my dying wish to have that ring. See if I'm not buried with that ring, then my spirit is going to wander the nether world for all.",0.47619047619047616,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt1.wav
neutral,neutral,neutral,0.5407671928405762,"Okay, thats enough honey!","Okay, that's enough honey.",0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt2.wav
neutral,neutral,positive,0.588716983795166,I dont know.  Let me see the ring.,"I don't know. Let me see the room. Great. Okay, I'll be here.",0.875,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt3.wav
joy,positive,positive,0.7957262396812439,"Great! Okay, here.","Let me see the room. Great. Okay, here.",1.6666666666666667,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt4.wav
neutral,neutral,positive,0.9271166324615479,All right.,Thank you. Thank you.,2.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt5.wav
neutral,neutral,neutral,0.8079148530960083,What've you been up to?,"So, what do you even up to?",0.8,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt0.wav
neutral,neutral,neutral,0.5417488217353821,"Oh, you know, the usual, teaching aerobics, partying way too much.","Oh, you know, teaching a row of eggs, partying way too much.",0.45454545454545453,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt1.wav
neutral,neutral,positive,0.6703191995620728,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.","Oh! And in case you were wondering, those are my legs on the new James Bond poster.",0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt2.wav
joy,positive,positive,0.9227740168571472,Can you hold on a moment? I have another call.  I love her.,Can you hold on a moment? I have another call. I love her. I know.,0.15384615384615385,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt3.wav
neutral,neutral,positive,0.9730778336524963,I know.,I love her. I know.,1.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt4.wav
neutral,neutral,positive,0.6517800092697144,I'm back.,I'm back.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt5.wav
neutral,neutral,neutral,0.9332947134971619,"So, are we gonna get together or what?",So are we gonna get together or what?,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt6.wav
neutral,neutral,neutral,0.8005224466323853,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Absolutely. How about tomorrow afternoon? Do you know Central Perk in the village say five-ish?,0.2222222222222222,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt7.wav
neutral,neutral,positive,0.9131641387939453,"Great, I'll see you then.","Great, I'll see you then. Okay.",0.2,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt8.wav
joy,positive,positive,0.9188045263290405,Ok.  Ok. Having a phone has finally paid off.,Having a phone has finally paid off.,0.2222222222222222,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt9.wav
neutral,neutral,neutral,0.515171229839325,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","Even though you do do a good Bobbim press, and I'm thinking when she sees you tomorrow, she's probably gonna realize, hey, you're not Bobbim.",0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt10.wav
neutral,neutral,positive,0.49375900626182556,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",will seek comfort in the open arms of the rye stranger at the next table.,0.4166666666666667,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt11.wav
disgust,negative,negative,0.9395044445991516,Oh my god. You are pure evil.,"Oh my God, you are pure evil.",0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt12.wav
anger,negative,negative,0.920396625995636,"Ok, pure evil , horny and alone . I've done this","Okay, pure evil. Harning alone. I've done this.",0.3333333333333333,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt13.wav
anger,negative,neutral,0.4837106168270111,Nobody!,Nobody! No!,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt0.wav
anger,negative,neutral,0.7317625284194946,Nobody respects the bucket!,already respects the bucket.,0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt1.wav
anger,negative,negative,0.8847362995147705,You wouldn't believe what people put in here!,You wouldn't believe what people put in here!,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt2.wav
anger,negative,neutral,0.9144605398178101,Look!,"Okay, does this?",3.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt3.wav
anger,negative,negative,0.6947926878929138,"Okay, does this look like a garbage can to you?","Look, okay, does this look like a garbage can to you? No.",0.2,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt4.wav
neutral,neutral,negative,0.6792688965797424,No.,like a garbage can to you? No.,6.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt5.wav
neutral,neutral,positive,0.5051959753036499,This is my wedding.,This is my wedding.,0.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt0.wav
anger,negative,negative,0.6334286332130432,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!","Now we really are late. Let's go, let's go, let's go!",0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt1.wav
neutral,neutral,neutral,0.8018125891685486,Fine. Youll-youll watch it on video when we get back.,"Fine, you'll watch it on video when we get back.",0.1,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt2.wav
joy,positive,neutral,0.6434357166290283,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,"Here you go, Phoebe. Here you go, Fubo. Fubla, Phoebe.",0.3,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt3.wav
neutral,neutral,neutral,0.7122845649719238,Thank you.,Hmm.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt4.wav
joy,positive,neutral,0.632134735584259,"All right, lets go! Bye, Pheebs!","Alright, let's go. Bye, Phil.",0.6666666666666666,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt6.wav
joy,positive,neutral,0.5472507476806641,"Bye, Pheebs!","Bye, Flash!",0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt7.wav
joy,positive,positive,0.4511168599128723,London baby!!,baby,0.5,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt8.wav
joy,positive,neutral,0.6820250749588013,"Oh, do you need a hug? You dont have to bring me anything!",Do you need a hug? You don't have to bring me anything.,0.15384615384615385,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt9.wav
neutral,neutral,positive,0.6871309876441956,Hey!,Hi. Hey.,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt0.wav
joy,positive,positive,0.9219210147857666,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,"Hey! Hey! So, I'll still line up a bunch of auditions for me tomorrow, and I'll have my Alvin shirts back in no time.",0.3181818181818182,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt1.wav
disgust,negative,neutral,0.4206826388835907,"Thats great, but shouldnt you be on the toilet right now?","That's great, but shouldn't you be on a toilet right now?",0.2727272727272727,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt2.wav
surprise,negative,neutral,0.7300180196762085,What?!,What? What?,1.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt3.wav
disgust,negative,negative,0.8915101885795593,Whats wrong with you?,wrong with you.,0.25,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt4.wav
neutral,neutral,neutral,0.8372268676757812,Nothing!,You're singing right?,3.0,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt5.wav
fear,negative,negative,0.7486474514007568,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.","Well, I got this blinding pain in my stomach when I was lifting weights before, and then I passed out, and I'm being able to stand up since.",0.20689655172413793,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt6.wav
