emotion,sentiment,textual_sentiment_predicted,textual_sentiment_score,transcription_ground_truth,file_path
fear,negative,negative,0.569209098815918,"No, I-I-I-I don't, I actually don't know",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt3.wav
neutral,neutral,positive,0.6652424931526184,Ok!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt4.wav
neutral,neutral,neutral,0.5124452710151672,"All right, well...",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt5.wav
neutral,neutral,positive,0.8650453090667725,"Yeah, sure!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia1_utt8.wav
neutral,neutral,neutral,0.6426818370819092,"Hey, Mon.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt0.wav
neutral,neutral,negative,0.9166468977928162,Hey-hey-hey. You wanna hear something that sucks.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt1.wav
joy,positive,neutral,0.6692951321601868,Do I ever.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt2.wav
sadness,negative,neutral,0.677845299243927,Chris says theyre closing down the bar.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt3.wav
surprise,negative,neutral,0.4256950914859772,No way!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt4.wav
neutral,neutral,neutral,0.8085566759109497,"Yeah, apparently theyre turning it into some kinda coffee place.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt5.wav
disgust,negative,neutral,0.8523962497711182,Just coffee! Where are we gonna hang out now?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt6.wav
sadness,negative,neutral,0.5106638073921204,Got me.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt7.wav
neutral,neutral,neutral,0.8089657425880432,Can I get a beer.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt8.wav
neutral,neutral,neutral,0.9282218217849731,"Hey, did you pick a roommate?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt9.wav
joy,positive,positive,0.8248658180236816,You betcha!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt10.wav
neutral,neutral,neutral,0.9269566535949707,Is it the Italian guy?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt11.wav
joy,positive,positive,0.7326323390007019,"Um-mm, yeah right!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt12.wav
surprise,negative,negative,0.8185112476348877,"Oh my God, oh my God! Poor Monica!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt0.wav
surprise,negative,neutral,0.4717019498348236,"What, what, what?!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt1.wav
surprise,negative,neutral,0.5837134718894958,What?!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt2.wav
neutral,neutral,neutral,0.9148571491241455,He was with her when he wrote this poem.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt3.wav
neutral,neutral,negative,0.47947967052459717,"Look,  'My vessel so empty with nothing inside.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt4.wav
neutral,neutral,neutral,0.6766154766082764,"Now that I've touched you, you seem emptier still.'",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt5.wav
surprise,negative,negative,0.6468736529350281,"He thinks Monica is empty, she is the empty vase!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt6.wav
sadness,negative,positive,0.9798277616500854,"Oh, totally. Oh, God, oh, she seemed so happy too.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt8.wav
neutral,neutral,neutral,0.593028724193573,Done.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt9.wav
surprise,positive,positive,0.7106263041496277,Hey!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt0.wav
joy,positive,positive,0.7171877026557922,Hi!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt1.wav
surprise,positive,neutral,0.9033131003379822,What are you doing here?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt2.wav
neutral,neutral,neutral,0.7957274317741394,"Ah y'know, this building is on my paper route so I...",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt3.wav
neutral,neutral,neutral,0.6257715225219727,Oh.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt4.wav
neutral,neutral,neutral,0.5704938173294067,Hi.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt5.wav
neutral,neutral,neutral,0.5704938173294067,Hi.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt6.wav
neutral,neutral,neutral,0.927201509475708,Howd did it go?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt7.wav
joy,positive,positive,0.7926772832870483,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt8.wav
joy,positive,positive,0.9843817353248596,Im so proud of you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt9.wav
joy,positive,positive,0.6962435245513916,Me too!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt10.wav
sadness,negative,neutral,0.40626394748687744,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt11.wav
neutral,neutral,neutral,0.644666314125061,I know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt12.wav
neutral,neutral,neutral,0.5797720551490784,Yeah.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt13.wav
neutral,neutral,neutral,0.5797720551490784,Yeah.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt14.wav
neutral,neutral,neutral,0.8370567560195923,Ameri-can.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt0.wav
neutral,neutral,neutral,0.8616080284118652,Ameri-ccan.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt1.wav
neutral,neutral,neutral,0.8153484463691711,Ameri-can. Y'know its a,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt2.wav
surprise,positive,positive,0.7488911151885986,Everybody!!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt3.wav
joy,positive,positive,0.9832625389099121,Good job Joe! Well done! Top notch!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt0.wav
surprise,positive,positive,0.8003226518630981,You liked it? You really liked it?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt1.wav
joy,positive,positive,0.9504379630088806,"Oh-ho-ho, yeah!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt2.wav
neutral,neutral,neutral,0.8913568258285522,Which part exactly?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt3.wav
neutral,neutral,neutral,0.7122756838798523,The whole thing! Can we go?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt4.wav
anger,negative,negative,0.8694068193435669,"Oh no-no-no, give me some specifics.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt5.wav
joy,positive,positive,0.9829949736595154,"I love the specifics, the specifics were the best part!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt6.wav
neutral,neutral,neutral,0.7342138290405273,"Hey, what about the scene with the kangaroo? Did-did you like that part?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt7.wav
surprise,negative,negative,0.581034779548645,I was surprised to see a kangaroo in a World War I epic.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt8.wav
anger,negative,neutral,0.7038999199867249,You fell asleep!!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt9.wav
anger,negative,negative,0.4718400239944458,There was no kangaroo!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt10.wav
anger,negative,negative,0.9068934321403503,They didnt take any of my suggestions!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt11.wav
neutral,neutral,neutral,0.6285080909729004,Thats for coming buddy.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt12.wav
neutral,neutral,neutral,0.7497538924217224,Ill see you later.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt13.wav
sadness,negative,negative,0.6195226311683655,Dont go!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt14.wav
sadness,negative,negative,0.7225783467292786,Im sorry.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt15.wav
sadness,negative,negative,0.8905587792396545,Im so sorry!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt16.wav
surprise,negative,positive,0.7278832793235779,Look!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt17.wav
anger,negative,neutral,0.6874948740005493,This guy fell asleep!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt18.wav
anger,negative,neutral,0.6663600206375122,He fell asleep too!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt19.wav
anger,negative,negative,0.721457839012146,Be mad at him!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt20.wav
anger,negative,negative,0.5087611675262451,"Or, call an ambulance.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt21.wav
neutral,neutral,negative,0.7560797333717346,"Okay, look, I think we have to tell Rachel she messed up her dessert.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia7_utt0.wav
anger,negative,negative,0.9153892397880554,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia7_utt1.wav
neutral,neutral,positive,0.8844416737556458,"Yes, and it is my dying wish to have that ring.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt0.wav
neutral,neutral,negative,0.631509006023407,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt1.wav
neutral,neutral,positive,0.5959517359733582,"Okay, thats enough honey!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt2.wav
neutral,neutral,neutral,0.818848729133606,I dont know.  Let me see the ring.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt3.wav
joy,positive,positive,0.9805337190628052,"Great! Okay, here.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt4.wav
neutral,neutral,neutral,0.5239052772521973,All right.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt5.wav
joy,positive,positive,0.9752309322357178,Thank you. Thank you. Thank you!  And,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt6.wav
neutral,neutral,neutral,0.7689381837844849,What've you been up to?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt0.wav
neutral,neutral,neutral,0.502611517906189,"Oh, you know, the usual, teaching aerobics, partying way too much.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt1.wav
neutral,neutral,neutral,0.5448650121688843,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt2.wav
joy,positive,positive,0.9620456695556641,Can you hold on a moment? I have another call.  I love her.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt3.wav
neutral,neutral,neutral,0.644666314125061,I know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt4.wav
neutral,neutral,positive,0.6517800092697144,I'm back.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt5.wav
neutral,neutral,neutral,0.9393337368965149,"So, are we gonna get together or what?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt6.wav
neutral,neutral,neutral,0.7705910801887512,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt7.wav
neutral,neutral,positive,0.9585385322570801,"Great, I'll see you then.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt8.wav
joy,positive,positive,0.9355035424232483,Ok.  Ok. Having a phone has finally paid off.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt9.wav
neutral,neutral,neutral,0.46721139550209045,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt10.wav
neutral,neutral,neutral,0.6189738512039185,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt11.wav
disgust,negative,negative,0.9401791095733643,Oh my god. You are pure evil.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt12.wav
anger,negative,negative,0.8802012205123901,"Ok, pure evil , horny and alone . I've done this",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt13.wav
anger,negative,neutral,0.5544657707214355,Nobody!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt0.wav
anger,negative,negative,0.8220338225364685,Nobody respects the bucket!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt1.wav
anger,negative,negative,0.8847362995147705,You wouldn't believe what people put in here!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt2.wav
anger,negative,positive,0.7278832793235779,Look!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt3.wav
anger,negative,negative,0.6807094812393188,"Okay, does this look like a garbage can to you?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt4.wav
neutral,neutral,neutral,0.5609907507896423,No.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt5.wav
neutral,neutral,positive,0.5051959753036499,This is my wedding.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt0.wav
anger,negative,positive,0.45779889822006226,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt1.wav
neutral,neutral,neutral,0.7337232828140259,Fine. Youll-youll watch it on video when we get back.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt2.wav
joy,positive,positive,0.7456468939781189,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt3.wav
neutral,neutral,positive,0.8344851136207581,Thank you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt4.wav
neutral,neutral,positive,0.8344851136207581,Thank you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt5.wav
joy,positive,positive,0.6043797135353088,"All right, lets go! Bye, Pheebs!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt6.wav
joy,positive,neutral,0.5916851758956909,"Bye, Pheebs!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt7.wav
joy,positive,positive,0.937591552734375,London baby!!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt8.wav
joy,positive,neutral,0.599988579750061,"Oh, do you need a hug? You dont have to bring me anything!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt9.wav
neutral,neutral,positive,0.7106263041496277,Hey!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt0.wav
joy,positive,positive,0.9317073822021484,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt1.wav
disgust,negative,neutral,0.4351740777492523,"Thats great, but shouldnt you be on the toilet right now?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt2.wav
surprise,negative,neutral,0.5837134718894958,What?!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt3.wav
disgust,negative,negative,0.9289243817329407,Whats wrong with you?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt4.wav
neutral,neutral,neutral,0.48968684673309326,Nothing!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt5.wav
fear,negative,negative,0.8631177544593811,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt6.wav
neutral,neutral,negative,0.4944552779197693,"But um, I dont think its anything serious.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt7.wav
surprise,negative,negative,0.9058683514595032,This sounds like a hernia. You have toyou-you go to the doctor!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt8.wav
fear,negative,negative,0.8369594812393188,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt9.wav
disgust,negative,negative,0.798346757888794,Thats a hernia.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt10.wav
anger,negative,negative,0.9201787710189819,Why did I have to start working out again?  Damn you 15s!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt11.wav
joy,positive,positive,0.985066294670105,I love your place! Where is this guy from?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia13_utt0.wav
neutral,neutral,neutral,0.8812760710716248,Uh thats an eighteenth century Indian artifact from Calcutta.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia13_utt1.wav
surprise,positive,positive,0.6299755573272705,"Oh wow! So, youre more than just dinosaurs.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia13_utt2.wav
neutral,neutral,positive,0.6137418150901794,So much more.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia13_utt3.wav
neutral,neutral,positive,0.9632229804992676,"Well, well to sum up, were having fun, you look young.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia14_utt0.wav
neutral,neutral,positive,0.517881453037262,Okay,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia14_utt1.wav
neutral,neutral,negative,0.6838013529777527,But thats not enough. So Soheres a key to my apartment.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia14_utt2.wav
surprise,positive,neutral,0.5650410056114197,Really?!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia14_utt3.wav
neutral,neutral,neutral,0.605087161064148,Really.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia14_utt4.wav
neutral,neutral,neutral,0.7107713222503662,You dont think this is too fast.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia14_utt5.wav
anger,negative,neutral,0.6839525699615479,Get Out!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia15_utt0.wav
neutral,neutral,neutral,0.8796058893203735,"Ross, can I talk to you for a minute?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia15_utt1.wav
neutral,neutral,positive,0.63219153881073,"Yes, please!  So, what's going on?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia15_utt2.wav
sadness,negative,neutral,0.49842095375061035,"Uh, well... Joey and I broke up.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia15_utt3.wav
surprise,negative,negative,0.7432337403297424,"Oh my God, wh-what happened?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia15_utt4.wav
sadness,negative,positive,0.6664717793464661,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia15_utt5.wav
