emotion,sentiment,textual_sentiment_predicted,textual_sentiment_score,transcription_ground_truth,transcription_ASR,file_path
neutral,neutral,neutral,0.5482644438743591,"Hey, Mon.",very much,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt0.wav
neutral,neutral,negative,0.9224415421485901,Hey-hey-hey. You wanna hear something that sucks.,You wanna hear something that sucks?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt1.wav
joy,positive,neutral,0.760054886341095,Do I ever.,Do I ever?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt2.wav
sadness,negative,neutral,0.7446958422660828,Chris says theyre closing down the bar.,Chris says they're closing down the bar.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt3.wav
surprise,negative,neutral,0.42569461464881897,No way!,No way!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt4.wav
neutral,neutral,neutral,0.8060148358345032,"Yeah, apparently theyre turning it into some kinda coffee place.",they're turning it into some kind of coffee place.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt5.wav
disgust,negative,neutral,0.8745520710945129,Just coffee! Where are we gonna hang out now?,Just coffee? What are we gonna hang out now? Got me?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt6.wav
sadness,negative,neutral,0.7645024657249451,Got me.,What are we gonna hang out now? Got me!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt7.wav
neutral,neutral,neutral,0.7281590700149536,Can I get a beer.,I get beer.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt8.wav
neutral,neutral,neutral,0.6397141814231873,"Hey, did you pick a roommate?","Please. Hey, did you figure out me?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt9.wav
joy,positive,positive,0.824866771697998,You betcha!,You betcha!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt10.wav
neutral,neutral,neutral,0.9269566535949707,Is it the Italian guy?,Is it the Italian guy?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt11.wav
joy,positive,neutral,0.5239996910095215,"Um-mm, yeah right!","Yeah, right.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia2_utt12.wav
surprise,negative,negative,0.8716856241226196,"Oh my God, oh my God! Poor Monica!","Oh my god, oh my god, poor Monica!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt0.wav
surprise,negative,neutral,0.7265484929084778,"What, what, what?!",What? What? What?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt1.wav
surprise,negative,neutral,0.6546454429626465,What?!,What?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt2.wav
neutral,neutral,neutral,0.9014049768447876,He was with her when he wrote this poem.,It was with her when he wrote this poem. Look.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt3.wav
neutral,neutral,positive,0.9165963530540466,"Look,  'My vessel so empty with nothing inside.",My vessel's so lovely with nothing inside.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt4.wav
neutral,neutral,neutral,0.6345240473747253,"Now that I've touched you, you seem emptier still.'","Now that I've touched you, you seem empty or still?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt5.wav
surprise,negative,negative,0.6481140851974487,"He thinks Monica is empty, she is the empty vase!","Deep thanks Monica's empty, she's the empty vase.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt6.wav
sadness,negative,positive,0.980342447757721,"Oh, totally. Oh, God, oh, she seemed so happy too.","Oh God, oh she seems so happy too.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt8.wav
neutral,neutral,positive,0.6508024334907532,Done.,Sam!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia3_utt9.wav
surprise,positive,neutral,0.6077770590782166,Hey!,Bye.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt0.wav
surprise,positive,neutral,0.9033125042915344,What are you doing here?,What are you doing here?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt2.wav
neutral,neutral,neutral,0.7474478483200073,"Ah y'know, this building is on my paper route so I...","You know, this building's on my paper roots.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt3.wav
neutral,neutral,neutral,0.5692523121833801,Oh.,Okay.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt4.wav
neutral,neutral,positive,0.5524600148200989,Howd did it go?,Hello.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt7.wav
joy,positive,positive,0.8408745527267456,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.","Well, the woman I interviewed with was pretty tough, but you know, thank God Mark coached me because once I started talking about the fall line She got all happy and wouldn't shut up",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt8.wav
joy,positive,positive,0.9812862277030945,Im so proud of you.,So proud of you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt9.wav
joy,positive,neutral,0.6050013899803162,Me too!,yol,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt10.wav
sadness,negative,negative,0.43994244933128357,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...","Listen, I'm sorry I've been so crazy and jealous and this just I like it a lot.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt11.wav
neutral,neutral,neutral,0.6446663737297058,I know.,I know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt12.wav
neutral,neutral,neutral,0.5797716975212097,Yeah.,Yeah.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt13.wav
neutral,neutral,neutral,0.5797716975212097,Yeah.,Yeah.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia4_utt14.wav
neutral,neutral,positive,0.9299716353416443,Ameri-can.,I'm very keen. I'm very.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt0.wav
neutral,neutral,positive,0.8344851732254028,Ameri-ccan.,Thank you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt1.wav
neutral,neutral,neutral,0.6164194345474243,Ameri-can. Y'know its a,"I mean, it can, again, it's a very hard language.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt2.wav
surprise,positive,positive,0.5887547135353088,Everybody!!,"Тучи! Тучи, тучи, миза!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia5_utt3.wav
joy,positive,positive,0.9773821234703064,Good job Joe! Well done! Top notch!,Good job Joe. Well done top notch,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt0.wav
surprise,positive,positive,0.7298496961593628,You liked it? You really liked it?,If you really liked it.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt1.wav
joy,positive,positive,0.9406745433807373,"Oh-ho-ho, yeah!","Oh, yeah!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt2.wav
neutral,neutral,neutral,0.8913568258285522,Which part exactly?,Which part exactly?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt3.wav
neutral,neutral,neutral,0.4847872853279114,The whole thing! Can we go?,The whole thing! Here we go!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt4.wav
anger,negative,neutral,0.8520587682723999,"Oh no-no-no, give me some specifics.",Γνήσαμε στο μονεφίierungs.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt5.wav
joy,positive,positive,0.9829948544502258,"I love the specifics, the specifics were the best part!","I love the specifics, the specifics were the best part!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt6.wav
neutral,neutral,neutral,0.7308534383773804,"Hey, what about the scene with the kangaroo? Did-did you like that part?",What about the scene with the kangaroo? Did you like that part?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt7.wav
surprise,negative,negative,0.5810348987579346,I was surprised to see a kangaroo in a World War I epic.,I was surprised to see a kangaroo in a World War I epic.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt8.wav
anger,negative,positive,0.858025312423706,You fell asleep!!,You found the sweep!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt9.wav
anger,negative,negative,0.47183987498283386,There was no kangaroo!,There was no kangaroo!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt10.wav
anger,negative,negative,0.8108873963356018,They didnt take any of my suggestions!,They didn't take any of my suggestions,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt11.wav
neutral,neutral,positive,0.9768962264060974,Thats for coming buddy.,Thanks a lot for coming buddy.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt12.wav
neutral,neutral,neutral,0.6283954381942749,Ill see you later.,See you later.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt13.wav
sadness,negative,neutral,0.4917021095752716,Dont go!,Don't go-,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt14.wav
sadness,negative,negative,0.6035735011100769,Im sorry.,I'm sorry.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt15.wav
sadness,negative,negative,0.8501233458518982,Im so sorry!,I'm so sorry!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt16.wav
anger,negative,neutral,0.6337958574295044,This guy fell asleep!,This guy fell asleep he-,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt18.wav
anger,negative,neutral,0.48409292101860046,He fell asleep too!,so,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt19.wav
anger,negative,negative,0.7941044569015503,Be mad at him!,You'll be mad here.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt20.wav
anger,negative,negative,0.6126784682273865,"Or, call an ambulance.",Or call an ambulance.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia6_utt21.wav
neutral,neutral,negative,0.7560803294181824,"Okay, look, I think we have to tell Rachel she messed up her dessert.","Okay, look, I think we have to tell Rachel she messed up her dessert.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia7_utt0.wav
anger,negative,negative,0.5462884306907654,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",What? What is with everybody? It's Thanksgiving night.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia7_utt1.wav
neutral,neutral,neutral,0.5398297309875488,"Yes, and it is my dying wish to have that ring.",is my dying wish to have that ring. See if I'm not buried with that ring.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt0.wav
neutral,neutral,neutral,0.46819382905960083,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity","is my dying wish to have that ring. See if I'm not buried with that ring, then my spirit is going to wander the nether world for all.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt1.wav
neutral,neutral,neutral,0.5407673716545105,"Okay, thats enough honey!","Okay, that's enough honey.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt2.wav
neutral,neutral,positive,0.5887170433998108,I dont know.  Let me see the ring.,"I don't know. Let me see the room. Great. Okay, I'll be here.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt3.wav
joy,positive,positive,0.7957260608673096,"Great! Okay, here.","Let me see the room. Great. Okay, here.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt4.wav
neutral,neutral,positive,0.927116870880127,All right.,Thank you. Thank you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia8_utt5.wav
neutral,neutral,neutral,0.8079140782356262,What've you been up to?,"So, what do you even up to?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt0.wav
neutral,neutral,neutral,0.5417487025260925,"Oh, you know, the usual, teaching aerobics, partying way too much.","Oh, you know, teaching a row of eggs, partying way too much.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt1.wav
neutral,neutral,positive,0.6703195571899414,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.","Oh! And in case you were wondering, those are my legs on the new James Bond poster.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt2.wav
joy,positive,positive,0.9227738976478577,Can you hold on a moment? I have another call.  I love her.,Can you hold on a moment? I have another call. I love her. I know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt3.wav
neutral,neutral,positive,0.9730778336524963,I know.,I love her. I know.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt4.wav
neutral,neutral,positive,0.6517804861068726,I'm back.,I'm back.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt5.wav
neutral,neutral,neutral,0.933294951915741,"So, are we gonna get together or what?",So are we gonna get together or what?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt6.wav
neutral,neutral,neutral,0.8005224466323853,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Absolutely. How about tomorrow afternoon? Do you know Central Perk in the village say five-ish?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt7.wav
neutral,neutral,positive,0.913163423538208,"Great, I'll see you then.","Great, I'll see you then. Okay.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt8.wav
joy,positive,positive,0.918804407119751,Ok.  Ok. Having a phone has finally paid off.,Having a phone has finally paid off.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt9.wav
neutral,neutral,neutral,0.5151716470718384,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","Even though you do do a good Bobbim press, and I'm thinking when she sees you tomorrow, she's probably gonna realize, hey, you're not Bobbim.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt10.wav
neutral,neutral,positive,0.4937586486339569,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",will seek comfort in the open arms of the rye stranger at the next table.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt11.wav
disgust,negative,negative,0.9395044445991516,Oh my god. You are pure evil.,"Oh my God, you are pure evil.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt12.wav
anger,negative,negative,0.920396625995636,"Ok, pure evil , horny and alone . I've done this","Okay, pure evil. Harning alone. I've done this.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia9_utt13.wav
anger,negative,neutral,0.7729387283325195,Nobody!,Nobody nope,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt0.wav
anger,negative,neutral,0.7317624092102051,Nobody respects the bucket!,already respects the bucket.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt1.wav
anger,negative,negative,0.8847365975379944,You wouldn't believe what people put in here!,You wouldn't believe what people put in here!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt2.wav
anger,negative,neutral,0.9144603610038757,Look!,"Okay, does this?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt3.wav
anger,negative,negative,0.694791853427887,"Okay, does this look like a garbage can to you?","Look, okay, does this look like a garbage can to you? No.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt4.wav
neutral,neutral,negative,0.6792689561843872,No.,like a garbage can to you? No.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia10_utt5.wav
neutral,neutral,positive,0.5051973462104797,This is my wedding.,This is my wedding.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt0.wav
anger,negative,negative,0.6334280371665955,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!","Now we really are late. Let's go, let's go, let's go!",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt1.wav
neutral,neutral,neutral,0.8018128275871277,Fine. Youll-youll watch it on video when we get back.,"Fine, you'll watch it on video when we get back.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt2.wav
joy,positive,neutral,0.6434358954429626,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,"Here you go, Phoebe. Here you go, Fubo. Fubla, Phoebe.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt3.wav
neutral,neutral,neutral,0.7122846245765686,Thank you.,Hmm.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt4.wav
joy,positive,neutral,0.6321344971656799,"All right, lets go! Bye, Pheebs!","Alright, let's go. Bye, Phil.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt6.wav
joy,positive,neutral,0.6343169808387756,"Bye, Pheebs!",Bye Guys.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt7.wav
joy,positive,positive,0.4511173367500305,London baby!!,baby,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt8.wav
joy,positive,neutral,0.682025671005249,"Oh, do you need a hug? You dont have to bring me anything!",Do you need a hug? You don't have to bring me anything.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia11_utt9.wav
neutral,neutral,positive,0.6871317028999329,Hey!,Hi. Hey.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt0.wav
joy,positive,positive,0.9219210147857666,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,"Hey! Hey! So, I'll still line up a bunch of auditions for me tomorrow, and I'll have my Alvin shirts back in no time.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt1.wav
disgust,negative,neutral,0.4206826090812683,"Thats great, but shouldnt you be on the toilet right now?","That's great, but shouldn't you be on a toilet right now?",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt2.wav
surprise,negative,neutral,0.6546454429626465,What?!,What?,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt3.wav
disgust,negative,negative,0.8915102481842041,Whats wrong with you?,wrong with you.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt4.wav
neutral,neutral,neutral,0.5616793632507324,Nothing!,맥주!,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt5.wav
fear,negative,negative,0.7486476302146912,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.","Well, I got this blinding pain in my stomach when I was lifting weights before, and then I passed out, and I'm being able to stand up since.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt6.wav
neutral,neutral,negative,0.5153699517250061,"But um, I dont think its anything serious.",I don't think it's anything serious.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt7.wav
surprise,negative,negative,0.8364065289497375,This sounds like a hernia. You have toyou-you go to the doctor!,"This sounds like a honey. You have to, you go to the doctor.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt8.wav
fear,negative,negative,0.6484947800636292,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!","Okay, look, if I'm gonna go to the doctor for anything, it's gonna be for this thing sticking out of my stomach.",c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt9.wav
disgust,negative,negative,0.7482021450996399,Thats a hernia.,That's a hernia.,c:\Users\User\Downloads\[YTS]Github\FYP\emotion_api\dataset_meld\audio\wav_train\dia12_utt10.wav
